PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 13.8 uM,Standard Deviation,Inhibition at 13.8 uM [1],Inhibition at 13.8 uM [2],Inhibition at 13.8 uM [3]
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.
RESULT_UNIT,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
207,14733461,3626685,Inactive,9,,,13.54,2.60717,16.1832,14.4418,9.99143
208,14733474,4088240,Active,29,,,43.95,3.24151,44.9254,47.3451,39.5861
209,14733919,2165597,Inactive,7,,,11.44,0.888672,12.5964,11.2763,10.4374
210,14734247,4683370,Active,24,,,35.84,2.10384,34.735,34.0043,38.7875
211,14734287,609890,Active,20,,,30.04,3.89125,30.1951,25.2038,34.7317
212,14734290,82533,Active,48,,,71.84,1.22026,71.7917,73.3538,70.3658
213,14734300,2235547,Active,17,,,25.15,3.28107,26.7101,28.159,20.5884
214,14734714,2151361,Active,55,,,81.35,2.00269,83.0938,82.4091,78.5447
215,14735012,720645,Active,34,,,50.25,0.481097,50.8074,49.6329,50.3037
216,14735558,4054648,Inactive,0,,,-10.13,1.08871,-11.6266,-9.691,-9.07015
217,14736024,7109931,Active,22,,,33.47,0.933319,32.3033,34.5882,33.5107
218,14736184,878002,Inactive,1,,,2.42,0.103344,2.46022,2.51358,2.2726
219,14736314,4047587,Active,20,,,30.48,0.845349,31.6644,29.7602,30.0079
220,14736323,4186980,Active,32,,,48.43,2.97874,45.0192,52.2755,47.986
221,14736342,2858298,Active,19,,,28.44,0.753883,29.111,27.3908,28.8326
222,14736914,5362868,Active,64,,,95.09,0.748849,94.4794,94.6524,96.1474
223,14737452,3578009,Active,17,,,25.33,0.227644,25.5651,25.0203,25.3957
224,14737522,5073725,Active,23,,,35.28,1.17837,35.9828,33.6232,36.2428
225,14737645,3336778,Active,31,,,45.92,1.4844,47.7257,45.9421,44.0899
226,14738657,5044038,Inactive,2,,,4.14,0.981344,5.24809,2.86243,4.31043
227,14738809,971803,Inactive,15,,,23.02,1.55576,22.2859,25.181,21.5874
228,14738841,2960943,Active,21,,,31.68,2.05559,32.2571,28.9301,33.8666
229,14738859,2203667,Inactive,10,,,16,1.05661,14.5445,17.0225,16.4303
230,14738883,5173592,Active,29,,,43.43,4.5094,48.5452,44.1609,37.573
231,14738891,5167419,Active,24,,,36.38,1.62217,38.4727,34.5186,36.1558
232,14739095,5228448,Inactive,1,,,2.28,0.667623,1.34622,2.85244,2.65088
233,14739099,5101824,Active,45,,,67.5,2.90785,71.2419,67.1062,64.1519
234,14739103,3251511,Active,30,,,44.6,2.0976,43.3946,42.851,47.5475
235,14739236,5010903,Inactive,3,,,5.67,1.23581,6.57803,6.50086,3.91876
236,14739734,2304541,Active,48,,,72.13,0.193858,72.0567,71.9296,72.3894
237,14739767,2931308,Active,29,,,43.94,0.495846,43.2791,44.4726,44.071
238,14739850,1244048,Active,16,,,24.62,2.02102,21.9527,26.8446,25.0563
239,14739858,1245138,Inactive,10,,,15.73,1.09485,16.3684,16.6338,14.19
240,14740022,1485910,Active,24,,,36.13,1.12415,37.7107,35.1701,35.5208
241,14740194,2167979,Active,39,,,58.32,1.20308,59.9842,57.7705,57.1928
242,14740255,9551598,Active,27,,,40.63,1.10881,40.0158,39.6916,42.189
243,14740643,5718801,Inactive,4,,,6.52,0.843266,7.48514,6.65608,5.43219
244,14740894,935829,Active,34,,,50.16,0.679495,51.1006,49.5326,49.8331
245,14741546,23663723,Active,79,,,117.48,0.711286,116.535,118.248,117.666
246,14741745,3804160,Inactive,1,,,1.87,2.19404,-0.746499,1.74364,4.62307
247,14741868,1415442,Active,36,,,53.48,2.1412,55.7543,54.0801,50.6127
248,14741953,1914729,Active,46,,,68.26,0.503376,68.2713,67.6335,68.8662
249,14743195,1998339,Active,16,,,24.45,2.46022,26.1185,20.9729,26.2621
250,14744002,2334948,Active,29,,,43.72,3.18066,47.2844,44.305,39.5604
251,14744109,2456996,Active,33,,,49.28,1.10252,50.0412,47.7224,50.0808
252,14744757,9551934,Active,24,,,36.67,2.71417,40.2738,33.7257,36.0034
253,14744915,2679162,Inactive,13,,,20.48,0.42159,21.0076,20.4417,19.9766
254,14744933,4881170,Active,69,,,102.64,1.69293,104.195,103.448,100.289
255,14745139,2413312,Active,24,,,35.46,1.75925,36.0979,37.2241,33.0588
256,14745257,1668622,Inactive,12,,,18.08,1.85596,15.9822,17.7732,20.4964
257,14745370,2398303,Active,23,,,34.64,0.546676,34.35,34.1589,35.4022
258,14745471,2477027,Inactive,10,,,16.02,1.26054,14.2828,16.5646,17.2252
259,14745523,4878352,Inactive,14,,,21.11,2.03996,19.7552,19.5848,23.9949
260,14745577,3764070,Inactive,4,,,6.81,2.42836,3.39654,8.19955,8.83688
261,14745613,2449811,Active,28,,,42.09,1.53491,41.507,40.5644,44.1877
262,14745734,2109997,Inactive,0,,,-2.22,1.34238,-4.09605,-1.52321,-1.03641
263,14745989,3918052,Active,23,,,34.24,1.79353,32.3666,36.6579,33.6973
264,14746166,870388,Active,36,,,53.82,2.01898,51.0054,54.7856,55.657
265,14746412,2222480,Active,17,,,25.49,0.524274,26.1923,25.3451,24.933
266,14746707,2374283,Inactive,12,,,18.07,1.59069,15.8253,19.0941,19.2963
267,16953053,11834422,Active,25,,,37.68,2.79917,37.7079,41.099,34.2426
268,16953114,5721041,Active,22,,,33.2,1.87076,35.55,33.0675,30.973
269,16953494,727693,Active,59,,,87.88,0.624143,88.4019,87.0028,88.2361
270,16953502,4331920,Active,16,,,24.61,17.5403,15.628,49.1237,9.07338
271,16953745,4134237,Active,48,,,71.03,5.84574,65.2412,68.8187,79.0374
272,16953880,2359872,Active,26,,,39.69,1.7387,38.4857,38.4308,42.1463
273,17385712,5059230,Inactive,14,,,22.06,1.68018,24.2938,21.6448,20.2415
274,17386515,570353,Active,44,,,65.88,1.62652,63.5837,67.1636,66.8879
275,17386531,1048318,Inactive,7,,,11.51,2.97244,13.1461,7.34096,14.0494
276,17386580,1234246,Active,83,,,122.44,1.25769,124.215,121.493,121.606
277,17386582,1234241,Active,45,,,67.77,1.86969,67.9359,65.3999,69.9705
278,17386583,1234240,Active,45,,,67.18,1.34331,67.4862,65.4023,68.6495
279,17386650,7315332,Inactive,10,,,15.52,1.17843,15.8278,13.9536,16.7919
280,17386817,2979789,Inactive,15,,,22.6,2.37534,19.546,25.338,22.9212
281,17386835,997073,Active,17,,,25.64,1.12668,27.1966,24.5711,25.1474
282,17387361,1215863,Inactive,10,,,16.08,3.96005,12.0148,14.785,21.4505
283,17387426,999249,Active,21,,,30.95,1.50533,32.7436,31.0486,29.0602
284,17387814,851612,Active,25,,,38.18,1.38699,39.6615,36.3278,38.562
285,17387828,996008,Active,22,,,33.56,14.7199,20.4026,54.1059,26.1589
286,17387933,4658454,Inactive,7,,,10.53,2.09049,9.58652,8.58321,13.4335
287,17388402,3352440,Active,29,,,43.48,0.758246,42.4308,43.8207,44.1927
288,17401364,9679773,Active,43,,,64.19,0.865115,64.8274,64.7776,62.9678
289,17401456,1236024,Inactive,15,,,23.49,0.43603,23.9049,22.8841,23.6666
290,17401646,5105752,Inactive,0,,,-4.47,1.07226,-5.95408,-4.01017,-3.45251
291,17402131,3812674,Active,16,,,24.72,1.72048,27.1531,23.4167,23.5968
292,17402216,1484458,Active,27,,,40.86,0.889465,40.9891,39.709,41.8759
293,17402312,3670092,Inactive,12,,,17.85,1.835,19.268,15.2629,19.0322
294,17402472,1478834,Inactive,4,,,6.02,2.03134,8.24934,6.48432,3.33792
295,17402772,3740801,Inactive,3,,,5.19,3.1041,9.22648,4.68238,1.67494
296,17402841,2766000,Inactive,3,,,5.5,1.9709,3.40511,4.96205,8.1411
297,17403285,3192715,Active,40,,,59.53,9.72913,73.289,52.9544,52.3592
298,17406635,4600956,Active,25,,,38.14,2.58661,38.3086,34.8972,41.2267
299,17406848,4112227,Active,32,,,48.25,2.74234,51.6218,44.9045,48.2351
300,17406921,997438,Inactive,15,,,23.49,1.0447,24.0081,24.4369,22.0377
301,17407444,11958667,Inactive,3,,,5.3,0.281341,5.05008,5.16529,5.6961
302,17407647,1442817,Active,53,,,78.37,1.77658,78.1991,76.2864,80.6279
303,17407659,865077,Active,72,,,107.36,1.36272,109.123,105.804,107.151
304,17407784,3094795,Active,20,,,30.35,3.8286,26.883,28.4889,35.6877
305,17407814,1442808,Active,50,,,74.75,1.31725,74.0587,76.5959,73.601
306,17407865,1435022,Active,48,,,72.14,2.78179,75.3704,68.5795,72.4605
307,17408005,1435013,Active,77,,,114.2,0.757041,114.982,114.444,113.176
308,17408020,1442626,Active,74,,,110.14,1.49937,112.112,108.481,109.817
309,17408135,865072,Active,78,,,115.92,1.38715,117.786,114.466,115.501
310,17408241,11958727,Active,24,,,35.55,1.30329,37.3572,34.9488,34.3383
311,17408365,1435033,Active,60,,,89.16,1.76716,89.2094,86.9662,91.2938
312,17408429,1442514,Active,48,,,71.06,2.95964,66.8762,73.2888,73.0111
313,17408472,3192185,Active,77,,,113.54,0.821916,114.036,112.385,114.208
314,17409214,865078,Active,70,,,104.61,1.53556,105.309,102.478,106.038
315,17409236,5431723,Active,20,,,29.98,2.08414,27.3202,30.2154,32.4091
316,17409263,3207963,Active,66,,,98.06,0.512016,97.3839,98.1719,98.6229
317,17409352,54687297,Active,33,,,48.69,1.29925,50.4247,47.2974,48.3499
318,17410001,1485940,Active,35,,,52.4,4.66765,58.0219,52.5814,46.5929
319,17410075,1485897,Active,52,,,77.79,0.705603,77.1103,77.4901,78.7604
320,17410214,9659462,Active,55,,,82.44,1.2021,82.3806,80.9966,83.9394
321,17410742,814519,Active,96,,,141.77,3.17706,146.23,139.996,139.078
322,17411224,6404569,Active,48,,,71.19,2.48858,68.9148,74.6502,69.9944
323,17411256,3762661,Inactive,15,,,22.32,0.350805,21.8244,22.5644,22.5726
324,17411331,1479252,Inactive,11,,,17,2.79374,18.0299,19.7869,13.1806
325,17411497,3762660,Active,19,,,28.91,1.34468,28.9297,27.2466,30.5401
326,17412035,2238533,Active,24,,,35.41,2.46626,38.8821,33.4098,33.9298
327,17412145,2238869,Active,40,,,59.87,2.7663,63.4408,59.4526,56.7025
328,17412797,1346613,Inactive,11,,,17.59,16.9804,7.31387,41.529,3.93991
329,17413176,2975504,Inactive,11,,,16.29,2.8248,15.951,13.0176,19.9114
330,17413352,801011,Active,26,,,39.72,1.93848,40.8345,41.3287,36.9918
331,17413593,2878759,Active,25,,,37.37,1.29924,35.6456,38.7814,37.6838
332,17414146,1217817,Active,20,,,30.74,0.472241,30.0995,30.8758,31.2304
333,17414304,2937027,Active,21,,,32.07,0.53209,32.7115,32.0988,31.409
334,17414397,2227443,Inactive,12,,,18.21,1.21564,16.8457,17.9776,19.7969
335,17414861,6897216,Inactive,16,,,23.74,1.27355,22.055,24.0167,25.1364
336,17415171,832043,Active,29,,,42.96,0.523132,42.4859,42.6946,43.6852
337,17415272,2227579,Active,26,,,38.32,2.19815,35.2077,39.8804,39.8609
338,17415285,2296200,Inactive,16,,,24.08,2.48396,22.0356,27.5728,22.6203
339,17415301,720639,Active,30,,,44.29,0.797944,45.415,43.8439,43.6224
340,17415357,780021,Active,22,,,33.78,2.95155,34.2265,37.1453,29.9576
341,17415604,2915046,Active,32,,,47.76,2.12434,45.0514,47.9752,50.241
342,17415772,1327115,Active,45,,,67.31,0.990093,66.5257,66.7055,68.7101
343,17415790,1369526,Inactive,9,,,14.21,2.68299,17.8171,13.4334,11.385
344,17416180,720635,Active,51,,,75.92,1.62929,77.9997,74.0227,75.7227
345,17431711,1441188,Inactive,2,,,4.16,1.29816,4.74183,2.35946,5.37458
346,17431974,970535,Active,29,,,42.92,1.03265,44.3376,42.5085,41.91
347,17431994,975392,Active,89,,,131.6,1.27444,130.522,133.391,130.891
348,17432706,2214861,Inactive,14,,,21.26,0.603823,20.4617,21.4033,21.9203
349,17433348,890011,Active,50,,,74.56,1.89686,72.0433,76.6258,74.9996
350,17433467,1837943,Active,27,,,40.2,1.95809,39.2034,42.9307,38.4528
351,17433496,1305484,Active,18,,,27.26,1.24904,27.1079,25.8103,28.8586
352,17433933,1272230,Inactive,16,,,23.69,2.79108,24.6068,19.912,26.5635
353,17434078,1312703,Active,61,,,90.39,0.726496,89.9185,89.8315,91.4143
354,17503865,1442618,Active,61,,,90.74,1.28504,89.1314,90.8011,92.2771
355,17504198,4385163,Active,26,,,38.46,0.870447,38.9875,39.1665,37.237
356,17504235,939750,Active,24,,,36.16,0.631398,35.4636,36.0299,36.9931
357,17504265,939795,Active,22,,,33.16,2.51776,36.2003,30.0345,33.2316
358,17504268,3190331,Inactive,6,,,9.55,1.88509,9.27979,11.9849,7.39149
359,17504310,6374709,Active,45,,,67.04,1.77041,68.0441,68.5284,64.5542
360,17504405,3093461,Active,26,,,39.64,0.961417,40.7956,38.4415,39.6736
361,17504409,814542,Active,100,,,147.34,3.20626,151.871,144.859,145.301
362,17504576,1343565,Active,28,,,42.06,1.43126,41.6589,43.9827,40.5474
363,17504591,2172648,Inactive,9,,,13.29,2.19256,11.8841,16.3914,11.6087
364,17504723,12004531,Active,35,,,52.25,2.08222,55.1821,50.586,50.9691
365,17504848,4402099,Active,26,,,39.36,1.39417,41.2144,37.8549,39.0036
366,17505020,2013743,Inactive,6,,,10.11,0.978316,11.4842,9.54528,9.29517
367,17505218,3124013,Inactive,3,,,5.57,0.896008,4.6416,6.77849,5.27643
368,17505300,3613213,Active,37,,,55.76,0.778891,56.4584,54.6703,56.1406
369,17505359,3100477,Active,52,,,77.14,1.01526,78.0223,77.6791,75.7176
370,17505749,12004631,Active,39,,,58.48,2.5917,58.7167,61.5301,55.195
371,17505833,2833834,Inactive,4,,,6.9,4.86239,1.81508,5.42487,13.4495
372,17506516,2886974,Inactive,2,,,3.73,0.991162,3.21419,2.86654,5.12127
373,17506544,2970842,Active,29,,,43.86,1.49838,45.5494,41.9079,44.1256
374,17506768,2304433,Inactive,16,,,24.18,1.3516,22.4854,25.7931,24.2613
375,17507282,3207888,Inactive,3,,,4.7,1.68287,4.63305,6.79072,2.67009
376,17507342,5441374,Active,17,,,25.54,0.816333,26.2874,25.9284,24.4044
377,17507379,2870663,Active,24,,,36.01,1.32915,34.8616,37.8766,35.305
378,17507444,791500,Active,29,,,43.52,1.63489,45.1259,44.1569,41.2764
379,17507779,5722712,Inactive,3,,,5.26,0.413018,4.84517,5.11556,5.82464
380,17508247,1202470,Inactive,7,,,11.1,1.92657,12.7384,12.1677,8.39618
381,17508636,3180452,Inactive,12,,,18.03,2.15741,17.9736,20.7047,15.4211
382,17509492,776732,Inactive,5,,,8.68,1.47839,9.03913,6.71833,10.2862
383,17510089,2241313,Active,40,,,60.22,1.35103,62.0169,59.8793,58.7603
384,17510110,16481195,Inactive,6,,,9.76,1.82341,8.83979,8.13738,12.3085
385,17510149,2241315,Active,57,,,84.16,3.99031,87.3629,86.5815,78.5345
386,17510364,12005190,Inactive,2,,,3.75,1.18222,3.1929,2.66331,5.39367
387,17510462,16481194,Inactive,16,,,23.65,2.77406,27.5701,21.8444,21.5385
388,17510903,6621412,Inactive,2,,,4.21,1.57385,2.35651,4.06841,6.20386
389,17511459,5111187,Active,51,,,76.17,0.557487,75.5873,75.9905,76.9188
390,17511467,6518031,Active,22,,,32.49,0.659151,31.9792,32.0694,33.4204
391,17511514,1863914,Inactive,5,,,8.65,2.92012,8.30863,5.24955,12.3785
392,17511752,1910311,Active,30,,,45.64,0.993682,45.7936,46.778,44.3579
393,17512061,5106655,Active,25,,,37.2,1.54542,35.0697,38.683,37.854
394,17512176,12005596,Active,19,,,28.16,0.554761,27.9917,28.9097,27.583
395,17512317,12005613,Inactive,2,,,4.27,2.66036,0.52884,5.79494,6.48605
396,17512450,3644311,Active,30,,,44.71,2.65104,41.5014,44.6363,47.9938
397,17512561,4434008,Inactive,2,,,3.81,0.720066,4.82953,3.33241,3.27337
398,17512915,1840912,Active,21,,,31.37,0.718082,30.8529,32.3871,30.8749
399,17512958,944164,Active,26,,,39.67,0.714156,40.2584,38.6611,40.0773
400,17513005,1046754,Active,35,,,52.23,4.02909,57.9252,49.1835,49.5871
401,17513204,5522397,Active,19,,,29.46,1.16491,30.6292,27.8693,29.8768
402,17513543,3727516,Inactive,9,,,13.89,0.401584,14.4335,13.4747,13.7636
403,17513545,1947246,Inactive,11,,,16.83,1.6944,14.4684,18.3553,17.6723
404,17513741,1952926,Active,60,,,89.57,1.99832,90.7643,91.1952,86.7571
405,17514292,4162672,Inactive,12,,,18.98,2.09268,18.8966,16.4635,21.5873
406,17514340,2136283,Active,61,,,90.53,2.60104,86.9775,91.501,93.1248
407,17514366,1508345,Active,35,,,52.52,3.93724,50.788,57.9747,48.8116
408,17514913,6162283,Active,28,,,41.32,1.59758,43.5298,40.6483,39.796
409,17514990,12005929,Active,39,,,58.64,3.99279,54.7806,56.9975,64.1386
410,17515102,6039978,Inactive,1,,,2.07,2.21305,-0.447808,1.72504,4.93956
411,17515129,5886965,Inactive,0,,,-3.85,1.86449,-3.64267,-1.68296,-6.23537
412,17515136,3561766,Inactive,5,,,7.52,1.10369,6.51521,6.98399,9.05541
413,17515152,12005955,Inactive,5,,,7.84,1.04994,7.29612,6.92402,9.31389
414,17515183,4102692,Inactive,0,,,-5.33,0.852942,-4.13484,-6.08212,-5.76411
415,17515186,4300919,Active,22,,,33.75,1.02046,33.3574,32.736,35.1435
416,17515579,6139654,Active,18,,,27.96,0.776431,27.1767,27.6934,29.0202
417,17515688,7109928,Active,32,,,47.51,1.25241,47.3345,49.1176,46.0642
418,17515760,7110103,Active,57,,,84.77,1.20952,83.6256,84.2384,86.4423
419,17515823,12006166,Active,16,,,24.86,3.50108,20.3719,25.2786,28.9164
420,17516387,3679708,Active,29,,,43.68,4.31881,43.6047,48.9994,38.4212
421,17516427,2563425,Active,24,,,36.27,1.60014,37.9147,36.8024,34.1036
422,17516506,5410038,Active,20,,,29.73,1.50497,30.4887,31.0796,27.6329
423,17516525,9624661,Active,27,,,39.84,2.41227,36.483,42.0594,40.9633
424,17516572,6265504,Inactive,11,,,16.99,1.27711,17.6922,15.1989,18.0817
425,17516580,9671960,Active,22,,,33.46,0.778039,32.3843,33.7826,34.2048
426,17516694,2375640,Active,38,,,56.3,1.92781,56.3102,53.9337,58.6559
427,17516895,2429542,Active,20,,,30.05,1.00266,29.5448,31.4527,29.1594
428,17517010,5682058,Active,24,,,35.66,3.16152,31.8735,39.6119,35.4844
429,22400575,15944685,Active,23,,,35.33,1.94564,37.9966,34.6048,33.4013
430,22400675,4231295,Active,42,,,63.33,1.34481,62.8667,61.9674,65.1614
431,22400768,752859,Active,30,,,45.01,1.95743,47.7757,43.5573,43.6928
432,22400821,15944722,Active,20,,,30.04,0.79047,30.6107,28.9182,30.5789
433,22401015,4149513,Active,52,,,77.29,1.77992,74.9061,77.7904,79.1797
434,22401040,4206032,Active,51,,,75.98,3.75643,80.6674,71.4711,75.8052
435,22401066,2529879,Active,41,,,60.94,0.436481,61.5465,60.7535,60.529
436,22401126,2328694,Active,19,,,28.29,2.37949,31.4081,27.8275,25.6349
437,22401555,7109977,Active,47,,,69.6,1.11367,68.3751,71.07,69.3559
438,22401617,2389378,Active,40,,,59.77,1.29097,57.9771,60.9783,60.3403
439,22401783,5110655,Active,48,,,71.07,2.81021,71.0546,74.5137,67.6302
440,22401879,15944822,Active,27,,,39.95,1.19552,38.7552,39.5202,41.5857
441,22402161,7110078,Active,42,,,63.28,3.98838,68.8991,60.051,60.8881
442,22402484,2428528,Active,33,,,48.74,3.44026,52.5694,44.2266,49.4261
443,22402634,4088591,Inactive,12,,,17.78,1.73592,16.1573,16.9884,20.1843
444,22402740,3346465,Active,32,,,47.61,1.28325,47.2634,49.3269,46.2417
445,22402904,3586637,Inactive,11,,,16.36,1.12022,15.2883,15.8859,17.9064
446,22402971,2385998,Active,21,,,31.91,2.55431,28.5383,34.7166,32.4832
447,22402984,2111797,Inactive,0,,,-4.61,1.86567,-2.1967,-4.88877,-6.74084
448,22403055,2454757,Active,25,,,37.59,1.43796,39.612,36.7945,36.3726
449,22403961,1312086,Inactive,0,,,-16.64,4.4635,-22.9075,-12.835,-14.1888
450,22404217,2080519,Active,33,,,48.86,2.40324,51.9918,48.4299,46.152
451,22404816,901298,Inactive,0,,,0.46,2.26435,-1.50705,-0.75342,3.62862
452,22404916,12273833,Active,29,,,43.94,2.16726,45.0936,40.9002,45.8161
453,22405307,2467170,Inactive,16,,,23.99,0.543598,24.6917,23.3664,23.9176
454,22405361,295292,Inactive,8,,,12.7,0.182755,12.5157,12.9509,12.6425
455,22405414,1014465,Active,44,,,66.11,1.79327,63.6797,66.6954,67.9534
456,22405515,11644907,Active,52,,,76.82,7.86637,68.5176,87.3824,74.5517
457,22405641,2086114,Active,24,,,36.15,2.01446,37.0782,33.3533,38.0184
458,22405713,2082451,Inactive,15,,,23.54,2.70371,19.7917,24.749,26.0735
459,22405761,3558421,Active,27,,,40.32,1.89145,42.3823,37.8154,40.7749
460,22406093,3989255,Active,33,,,49.77,2.33999,51.8467,46.5033,50.9709
461,22406209,6508323,Active,29,,,43.37,0.83622,43.8344,42.1968,44.0812
462,22406509,4620655,Active,35,,,52.98,2.37964,53.896,49.7147,55.3225
463,22406617,2107670,Inactive,12,,,18.22,0.84139,18.9518,17.0418,18.6672
464,22406642,2107684,Active,30,,,44.52,1.29474,43.9318,43.3037,46.3099
465,22406650,3530658,Active,20,,,30.58,0.977047,30.8171,31.6473,29.2883
466,22406686,9625660,Inactive,6,,,10.11,0.350265,10.3412,9.61236,10.3688
467,22406706,4145279,Active,21,,,32.12,3.60239,29.2905,29.8658,37.2037
468,22406898,2429052,Active,26,,,38.99,0.851485,38.6735,40.1581,38.1471
469,22407000,9648727,Inactive,11,,,17.48,0.702759,18.1497,16.5061,17.7711
470,22407200,4883217,Inactive,8,,,12.31,1.8152,11.7351,14.7666,10.434
471,22407422,5679804,Active,17,,,26.24,1.75122,28.2846,24.0084,26.4404
472,22407698,2359669,Active,17,,,25.43,1.73702,26.2009,27.066,23.0257
473,22407835,2532272,Active,26,,,39.28,0.483885,39.8854,38.7014,39.2459
474,22408011,5986909,Active,53,,,78.52,2.36994,79.9153,75.1871,80.4679
475,22408677,4802162,Active,18,,,27.51,1.33524,29.3881,26.7415,26.4006
476,22408831,5983846,Active,30,,,44.31,1.39944,42.9111,43.7965,46.2217
477,22409053,4009065,Inactive,6,,,9.57,2.20507,8.60275,7.49122,12.6245
478,22409249,3971986,Inactive,13,,,20.57,1.84941,23.1712,19.0399,19.496
479,22409301,2346083,Inactive,11,,,16.52,0.952257,17.1108,15.1785,17.2761
480,22410070,15945337,Active,27,,,40.65,1.97687,42.9312,38.1098,40.91
481,22410139,5042313,Active,52,,,77.08,0.284795,76.9591,77.4731,76.8076
482,22410344,2490141,Inactive,13,,,19.57,1.23484,19.7199,17.9886,21.0022
483,22410970,2607891,Active,36,,,53.39,1.17498,54.2498,51.7319,54.1983
484,22411109,3317986,Inactive,13,,,19.84,1.92664,18.5484,18.4041,22.5614
485,22411163,4969400,Inactive,1,,,2.36,1.10281,3.57599,0.906175,2.5974
486,22411399,5685966,Active,36,,,54.5,1.0386,53.7071,53.834,55.971
487,22411543,2446191,Inactive,14,,,20.7,0.447599,21.3285,20.3015,20.4827
488,22411561,2411471,Active,29,,,44.06,1.40692,43.5342,42.6673,45.9893
489,22411668,4445081,Active,20,,,29.95,0.980271,31.1697,28.77,29.8989
490,22412012,1787933,Active,33,,,49.11,2.20814,50.1273,51.161,46.0463
491,22412288,849914,Inactive,3,,,4.98,1.8015,6.53374,5.94625,2.45246
492,22412370,990456,Active,50,,,73.77,0.412916,74.0155,73.1904,74.1096
493,22412371,990451,Active,38,,,56.03,1.1275,57.6162,55.1083,55.3606
494,22412399,1234242,Active,84,,,124.92,1.36161,126.844,124.01,123.904
495,22412625,7038698,Inactive,9,,,14.07,1.21047,12.9326,13.524,15.7445
496,22413119,843945,Active,22,,,33.11,1.75797,34.5271,34.1735,30.6336
497,22413480,823695,Inactive,15,,,22.68,1.07866,21.5502,24.1313,22.3515
498,22413520,1811598,Active,56,,,82.72,1.75159,81.6573,85.1923,81.3191
499,22414106,5808249,Active,40,,,60.11,1.16534,59.8581,58.8235,61.6448
500,22414347,54710218,Active,40,,,59.15,0.91675,58.9784,60.3501,58.1246
501,22416035,2910633,Active,21,,,31.41,0.863105,32.5199,30.4147,31.2989
502,22416736,2267286,Inactive,0,,,-3.97,1.21119,-2.25674,-4.77049,-4.87823
503,24779426,5159269,Inactive,15,,,22.3,3.14605,18.5562,26.2532,22.0782
504,24779546,2595072,Active,53,,,78.9,2.18601,80.3996,80.4929,75.8097
505,24779577,7086337,Inactive,12,,,17.91,0.992764,18.9641,16.582,18.1964
506,24780123,16187234,Active,21,,,31.13,2.49399,32.2252,27.6807,33.4886
507,24780126,9587336,Inactive,2,,,4.14,2.10595,1.24289,5.01453,6.17644
508,24781244,735962,Inactive,13,,,20.48,2.01343,21.3271,17.6986,22.4056
509,24781541,1243639,Inactive,13,,,19.89,0.633608,20.6728,19.1209,19.8783
510,24781833,1511748,Inactive,7,,,11.03,0.708537,10.5505,12.036,10.516
511,24782036,3179244,Inactive,10,,,15.06,0.307406,15.0149,14.7059,15.4551
512,24782273,1442698,Inactive,15,,,23.37,0.454955,23.5256,23.834,22.7524
513,24782355,2353771,Active,23,,,34.39,2.71213,37.6388,34.5178,30.9995
514,24782422,3179625,Active,22,,,33.71,1.96087,31.3334,36.136,33.6707
515,24782442,895193,Inactive,3,,,4.61,1.04048,4.59533,3.33603,5.88461
516,24782671,1380898,Inactive,15,,,23.27,0.430046,22.8929,23.0428,23.8708
517,24783025,16188019,Inactive,10,,,15.82,1.2859,17.1254,14.071,16.2645
518,24783166,16188084,Active,20,,,30.12,0.759692,29.0663,30.4865,30.8176
519,24783384,46495957,Active,24,,,35.46,0.998677,34.431,36.8123,35.1368
520,24783437,23679856,Active,41,,,61.17,0.761405,61.1536,60.2447,62.1096
521,24784089,2484034,Inactive,7,,,10.76,1.10097,9.62377,12.2506,10.4086
522,24785309,16188788,Active,36,,,54.22,0.755343,53.7081,55.2896,53.6672
523,24785464,7066845,Inactive,12,,,18.48,1.40889,17.5227,17.4433,20.471
524,24786849,1088361,Inactive,7,,,11.39,3.17533,8.84047,15.8664,9.46381
525,24786854,1234392,Active,66,,,98.58,1.03062,98.8359,99.6923,97.2074
526,24786897,3168484,Active,40,,,60.2,0.785398,60.7667,59.0856,60.7363
527,24787291,1191742,Inactive,16,,,23.82,1.32913,23.3235,22.4939,25.6352
528,24787353,1450043,Inactive,10,,,15.41,2.86164,14.8811,19.1438,12.1935
529,24787473,2962596,Active,30,,,45.21,2.39301,46.1996,47.521,41.9146
530,24787703,934786,Active,29,,,43.2,2.52148,45.1971,44.7512,39.6393
531,24788033,1790459,Inactive,0,,,0.42,2.31188,-2.58853,0.821742,3.03185
532,24788471,1434993,Active,66,,,97.35,1.01599,96.1834,98.6605,97.2143
533,24788967,769360,Active,19,,,28.68,1.59585,30.7537,28.4243,26.8704
