PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 13.8 uM,Standard Deviation,Inhibition at 13.8 uM [1],Inhibition at 13.8 uM [2],Inhibition at 13.8 uM [3]
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.
RESULT_UNIT,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
1448,144096882,57380182,Active,48,,,71.19,5.84271,79.3431,65.9459,68.2851
1449,144096906,6440561,Active,32,,,47.7,7.67164,42.2673,58.5527,42.2902
1450,144096907,60159013,Active,25,,,37.78,0.696664,38.7513,37.4084,37.168
1451,144097132,60159077,Active,47,,,69.94,2.4838,70.9364,72.3604,66.5258
1452,144097766,60159544,Inactive,2,,,4.24,2.102,1.474,4.67534,6.567
1453,144097973,20880565,Active,33,,,49.61,1.30375,50.3245,47.7829,50.7282
1454,144098637,56643362,Active,16,,,24.87,1.76452,22.3906,26.3382,25.8886
1455,144099095,60160225,Active,20,,,30.75,2.09539,30.1676,28.5211,33.5545
1456,160653706,21637907,Inactive,16,,,24.04,1.07251,23.9592,25.3962,22.7731
1457,160653707,10079145,Active,24,,,36.78,1.88282,39.1265,34.5166,36.7009
1458,160653708,10328022,Active,26,,,39.05,1.98578,41.5479,38.9104,36.6897
1459,160653709,21637908,Active,28,,,41.82,3.89346,42.9272,45.9376,36.5954
1460,160653710,6440810,Active,23,,,34.22,2.34582,30.8988,35.9313,35.8169
1461,160653711,6440827,Active,22,,,32.5,1.7619,33.528,30.0249,33.9594
1462,160653712,14782637,Active,21,,,31.82,0.751295,30.881,32.7201,31.8583
1463,160653796,70679651,Inactive,10,,,15.74,1.84282,16.0368,17.8417,13.3561
1464,160654098,70679952,Inactive,7,,,11.73,1.22627,13.1792,10.1812,11.8414
1465,160654188,70680043,Active,40,,,59.04,2.56534,56.8807,62.6416,57.5879
